Player Name,Team,Year,Wickets,Bowling Average,Economy,Salary ($),Value for Money
JC Archer,RR,2019,11,26.45,6.76,1125000,0.20253683834379557
JC Archer,RR,2020,20,18.25,6.55,1125000,0.5508197962913476
JD Unadkat,RCB,2013,13,28.46,7.55,525000,0.4268137847818249
JD Unadkat,DC,2014,9,30.0,8.66,466000,0.275330093248796
JD Unadkat,RPS,2017,24,13.41,7.02,45000,20.98307214260852
JD Unadkat,RR,2018,11,44.18,9.65,1796880,0.05318103941315809
JD Unadkat,RR,2019,10,39.8,10.66,1200000,0.07274693715025458
JD Unadkat,RR,2020,4,57.0,9.91,428600,0.061192127146854694
JDS Neesham,DC,2014,1,91.0,10.11,166000,0.02425133215356423
JDS Neesham,KXIP,2020,2,74.0,9.86,71400,0.14218683430790183
JH Kallis,KKR,2013,16,24.62,7.43,1100000,0.29450093027506047
JH Kallis,KKR,2014,4,46.5,8.45,916000,0.041161490408585535
JJ Bumrah,MI,2014,5,60.2,7.58,200000,0.20291331575617028
JJ Bumrah,MI,2015,3,61.33,12.26,200000,0.0738863239990376
JJ Bumrah,MI,2016,15,27.06,7.8,200000,1.3160582266273329
JJ Bumrah,MI,2017,20,22.0,7.41,200000,2.2719320964935004
JJ Bumrah,MI,2018,17,21.88,6.88,1093750,0.3824118445095446
JJ Bumrah,MI,2019,19,21.52,6.63,1093750,0.4509371081278656
JJ Bumrah,MI,2020,27,14.96,6.73,1093750,0.9081033467013715
JL Pattinson,MI,2020,11,29.09,9.01,100000,1.5543914859025953
JO Holder,CSK,2013,2,84.0,8.4,20000,0.5249013185521123
JO Holder,SRH,2014,1,35.0,11.66,125000,0.07260384618875186
JO Holder,KKR,2016,2,51.5,7.92,105000,0.17295954009366454
JO Holder,SRH,2020,14,16.64,8.32,105000,3.5669606983709548
JP Behrendorff,MI,2019,5,33.0,8.68,234380,0.2758366852334282
JP Duminy,DC,2014,3,80.0,7.27,366000,0.05219777695931665
JP Duminy,DC,2015,8,15.75,7.41,366000,0.6936595524032546
JP Duminy,DC,2016,2,27.5,7.85,366000,0.09375248663821985
JP Faulkner,RR,2013,28,15.25,6.75,400000,2.518608468820977
JP Faulkner,RR,2014,11,38.09,9.74,850000,0.12919332205308853
JP Faulkner,RR,2015,8,53.25,9.46,850000,0.06919847899148235
JP Faulkner,GL,2016,2,83.5,9.82,850000,0.010627946083260446
JP Faulkner,GL,2017,6,43.0,9.79,850000,0.062103691117355656
JR Hazlewood,CSK,2020,1,64.0,6.4,285700,0.03164944126835972
JW Hastings,CSK,2014,1,29.0,9.66,83000,0.15928798525452012
JW Hastings,KKR,2016,2,18.5,5.55,195000,0.36997033994031
K Gowtham,RR,2018,11,28.36,7.8,968750,0.1901149966727716
K Gowtham,RR,2019,1,166.0,8.3,968750,0.002774842514680218
K Gowtham,KXIP,2020,1,84.0,10.5,900000,0.004665789498240999
K Khejroliya,RCB,2018,2,53.5,9.87,15000,0.9351990085955312
K Khejroliya,RCB,2019,1,46.0,9.2,15000,0.583444187729002
K Rabada,DC,2017,6,31.33,8.81,746000,0.10792258904919219
K Rabada,DC,2019,25,14.72,7.82,656250,1.2257230834642896
K Rabada,DC,2020,30,18.26,8.34,656250,1.1117863823651002
K Santokie,MI,2014,3,30.0,11.25,50000,0.6584362139917695
KA Pollard,MI,2013,10,29.2,9.41,900000,0.1497687660114044
KA Pollard,MI,2014,2,131.0,10.48,900000,0.005995027005198648
KA Pollard,MI,2015,3,40.0,9.47,900000,0.03259154966300338
KA Pollard,MI,2020,4,47.5,9.04,843750,0.0408903098271554
KC Cariappa,KKR,2015,1,28.0,14.0,400000,0.02362055933484505
KC Cariappa,KXIP,2016,3,53.0,9.35,120000,0.18684813357399377
KC Cariappa,KXIP,2017,4,31.75,8.46,120000,0.45962208493310547
KH Pandya,MI,2016,6,39.33,7.57,300000,0.24879772542153086
KH Pandya,MI,2017,10,27.3,6.82,300000,0.6630831003590862
KH Pandya,MI,2018,12,23.66,7.07,1375000,0.19323270329689654
KH Pandya,MI,2019,12,27.91,7.28,1375000,0.15908292511660485
KH Pandya,MI,2020,6,63.33,7.57,1375000,0.03371160429207634
KJ Abbott,KXIP,2016,2,88.5,11.06,315000,0.02402466165153057
KK Ahmed,SRH,2019,19,15.1,8.23,468750,1.2080134606078832
KK Ahmed,SRH,2020,8,30.25,9.42,468750,0.2218240653549153
KL Nagarkoti,KKR,2020,5,46.2,8.88,500000,0.09027786805564586
KM Asif,CSK,2018,3,25.0,12.5,62500,0.568888888888889
KMA Paul,DC,2019,9,26.33,8.72,71400,2.0333549132476936
KV Sharma,SRH,2014,15,25.06,7.42,625000,0.47803809342155057
KV Sharma,SRH,2015,10,33.2,8.33,625000,0.21427580402977797
KV Sharma,MI,2017,13,16.46,6.97,478000,0.8779890156404352
KV Sharma,CSK,2018,4,22.25,9.36,478000,0.14882039965748095
KV Sharma,CSK,2019,1,33.0,11.64,478000,0.020171649766132317
KV Sharma,CSK,2020,5,33.0,8.68,478000,0.13525230603558766
KW Richardson,PWI,2013,2,50.5,8.53,700000,0.024565622977750244
KW Richardson,RR,2014,9,22.88,7.62,166000,1.1517538317652158
KW Richardson,RCB,2016,7,19.42,9.71,300000,0.45829441595359005
Karanveer Singh,KXIP,2014,11,14.9,8.2,16000,20.840532790115375
Karanveer Singh,KXIP,2015,1,157.0,11.21,16000,0.13152581094080096
Kartik Tyagi,RR,2020,9,40.77,9.61,185700,0.4581447797316587
Kuldeep Yadav,KKR,2016,6,16.66,8.33,66000,2.4261829824390992
Kuldeep Yadav,KKR,2017,12,28.33,8.29,66000,2.867295421829973
Kuldeep Yadav,KKR,2018,17,24.58,8.14,906250,0.3472408848240055
Kuldeep Yadav,KKR,2019,4,71.5,8.66,906250,0.02640123688144713
Kuldeep Yadav,KKR,2020,1,92.0,7.66,906250,0.0057992471707285324
L Balaji,KKR,2013,12,32.25,7.74,500000,0.35610395564725233
L Balaji,KXIP,2014,12,24.91,8.79,300000,0.676602541153377
L Ngidi,CSK,2018,11,14.18,6.0,78130,6.128915242154659
L Ngidi,CSK,2020,9,18.55,10.43,78130,2.2051223882358575
LH Ferguson,RPS,2017,3,31.0,7.15,75000,0.6683877651619589
LH Ferguson,KKR,2019,2,91.5,10.76,228600,0.032912179279444155
LH Ferguson,KKR,2020,6,24.66,7.46,228600,0.5284201383499336
LJ Wright,PWI,2013,2,50.0,10.16,200000,0.07290755322251387
LR Shukla,DC,2014,1,83.0,8.89,250000,0.02007781155869573
M Ashwin,RCB,2018,3,17.66,7.57,343750,0.24178436011519758
M Ashwin,KXIP,2019,5,51.0,7.5,28600,1.6928121503284905
M Ashwin,KXIP,2020,10,23.5,7.46,28600,7.38692199532996
M Kartik,RCB,2013,9,31.55,7.28,400000,0.3628173200280967
M Kartik,KXIP,2014,1,91.0,11.37,400000,0.008948997515400332
M Markande,MI,2018,15,24.53,8.36,31250,8.669092712262195
M Markande,MI,2019,1,59.0,9.83,31250,0.20435284328244313
M Morkel,DC,2013,7,47.85,8.37,475000,0.1362803581137287
M Morkel,KKR,2014,12,30.58,7.64,466000,0.40822606013829893
M Morkel,KKR,2015,10,20.6,7.35,466000,0.5249231903517104
M Morkel,KKR,2016,10,29.7,8.36,466000,0.3201014138641296
M Prasidh Krishna,KKR,2018,10,26.0,9.28,15620,9.827292488778651
M Prasidh Krishna,KKR,2019,4,94.25,9.34,15620,1.0774247867783016
M Prasidh Krishna,KKR,2020,4,41.0,9.37,15620,2.4688332058125444
M de Lange,MI,2014,2,16.0,8.0,50000,1.1574074074074077
MA Starc,RCB,2014,14,28.71,7.49,833000,0.28947046576743213
MA Starc,RCB,2015,20,14.55,6.76,833000,0.9040897402586251
MC Henriques,RCB,2013,7,26.42,8.74,300000,0.3742560031251019
MC Henriques,SRH,2014,4,24.0,9.6,166000,0.38735187664237214
MC Henriques,SRH,2015,11,14.36,6.32,166000,2.7042654199495666
MC Henriques,SRH,2016,12,34.58,7.98,166000,0.9702452238723165
MC Henriques,SRH,2017,1,248.0,10.33,166000,0.008709157517487678
MG Johnson,MI,2013,24,19.12,7.17,300000,2.1613205322640847
MG Johnson,KXIP,2014,17,26.11,8.29,1083000,0.26859337615208595
MG Johnson,KXIP,2015,9,37.33,9.37,1083000,0.08799392861673584
MG Johnson,KXIP,2016,2,53.0,9.63,1083000,0.01340095096726118
MG Johnson,MI,2017,7,20.14,7.05,299000,0.61068113532194
MG Johnson,KKR,2018,2,108.0,10.28,312500,0.0213500717896164
MJ Henry,KXIP,2017,1,71.0,14.2,75000,0.048981071265009654
MJ McClenaghan,MI,2015,18,21.44,8.21,50000,7.574793511128888
MJ McClenaghan,MI,2016,17,25.64,8.17,50000,6.011392366479375
MJ McClenaghan,MI,2017,19,26.68,9.38,50000,5.6238168525308545
MJ McClenaghan,MI,2018,14,23.71,8.3,50000,5.26968457738353
MJ McClenaghan,MI,2019,3,47.33,7.88,50000,0.59583329013542
MJ Santner,CSK,2019,4,23.5,6.71,78130,1.2025081276596168
MJ Santner,CSK,2020,2,26.5,7.57,78130,0.4726140776900043
MM Ali,RCB,2018,3,32.33,7.36,265630,0.17579108608588365
MM Ali,RCB,2019,6,28.16,6.76,265630,0.4394718050786788
MM Ali,RCB,2020,1,42.0,8.4,265630,0.03952123770297875
MM Patel,MI,2013,3,45.66,9.13,700000,0.0380761269256116
MM Patel,GL,2017,1,57.0,8.14,45000,0.17738809161811114
MM Sharma,CSK,2014,23,19.65,8.39,333000,1.551655563071742
MM Sharma,CSK,2015,14,34.35,8.43,333000,0.5377318021772866
MM Sharma,KXIP,2016,13,31.3,8.39,975000,0.18804798063030584
MM Sharma,KXIP,2017,13,31.53,8.97,975000,0.17460575689760077
MM Sharma,KXIP,2018,7,46.0,10.85,375000,0.13852094263501463
MM Sharma,CSK,2019,1,27.0,9.0,714300,0.02133778388294451
MM Sharma,DC,2020,1,45.0,11.25,71400,0.10246439682411605
MN Samuels,PWI,2013,1,34.0,8.5,400000,0.032038959374599524
MP Stoinis,KXIP,2016,8,24.25,8.43,82500,1.7568430167843978
MP Stoinis,KXIP,2017,2,55.0,10.47,82500,0.1559203897775864
MP Stoinis,KXIP,2018,3,40.0,10.9,968750,0.02630627075729177
MP Stoinis,RCB,2019,2,72.5,8.7,968750,0.012122641353076197
MP Stoinis,DC,2020,13,21.76,9.53,685700,0.33860521846430475
MR Marsh,PWI,2013,7,26.0,9.41,290000,0.3654040078973203
MR Marsh,RPS,2016,4,11.25,5.0,720000,0.3657978966620943
MS Gony,KXIP,2013,7,36.57,9.14,500000,0.1551290437626346
Mohammad Nabi,SRH,2017,2,29.0,5.27,45000,1.077072914335814
Mohammad Nabi,SRH,2018,1,47.0,9.4,156250,0.05365256610163809
Mohammad Nabi,SRH,2019,8,24.25,6.65,156250,1.1759065475831618
Mohammed Shami,DC,2014,7,52.71,8.38,708000,0.08290180440506008
Mohammed Shami,DC,2016,5,48.8,9.69,708000,0.05531327632515204
Mohammed Shami,DC,2017,5,48.6,9.34,708000,0.05762220019745
Mohammed Shami,DC,2018,3,48.0,10.4,708000,0.03143761971445588
Mohammed Shami,KXIP,2019,19,24.68,8.68,685700,0.4790609890625302
Mohammed Shami,KXIP,2020,20,23.0,8.57,685700,0.5480540912146248
Mohammed Siraj,SRH,2017,10,21.2,9.21,388000,0.4888875966611935
Mohammed Siraj,RCB,2018,11,33.36,8.95,406250,0.33588179830962145
Mohammed Siraj,RCB,2019,7,38.42,9.55,406250,0.17393227190698515
